,full_name,selling_price,year,km_driven,fuel_type,transmission_type,mileage,engine
0,Hyundai Grand i10,5.5,2016,20000,Petrol,Manual,18.9,1197
1,Ford Ecosport 2015-2021,5.7,2015,30000,Diesel,Manual,22.77,1498
2,Maruti Wagon R,3.5,2013,35000,Petrol,Manual,18.9,998
3,Hyundai i10 Sportz,3.15,2013,40000,Petrol,Manual,20.36,1197
4,Maruti Wagon R,4.1,2018,17512,Petrol,Manual,20.51,998
5,Maruti Swift VXI,5.11,2017,28321,Petrol,Manual,16.6,1197
6,Hyundai Verna 1.6,4.25,2013,65278,Diesel,Manual,22.32,1582
7,Maruti Baleno Zeta,6.0,2015,20000,Petrol,Manual,21.4,1197
8,Maruti Swift Dzire,5.75,2016,40000,Petrol,Manual,20.85,1197
9,Volkswagen Vento 1.6,4.25,2013,47000,Petrol,Manual,16.09,1598
10,Honda City i,7.5,2015,50000,Petrol,Manual,17.4,1497
11,Mahindra Bolero SLE,3.5,2011,25000,Diesel,Manual,13.6,2523
12,Honda City 2017-2020,1.45,2007,77253,Petrol,Manual,17.7,1497
13,Renault KWID Climber,3.4,2017,30000,Petrol,Manual,23.01,999
14,Honda Amaze S,4.65,2016,39993,Petrol,Manual,18.6,1199
15,Mahindra XUV500 W8,6.0,2012,185000,Diesel,Manual,15.1,2179
16,Hyundai i20 1.2,5.98,2018,40000,Petrol,Manual,18.6,1197
17,Honda City i,7.0,2015,31180,Petrol,Automatic,18.0,1497
18,Maruti Baleno Zeta,5.9,2016,52427,Petrol,Automatic,21.4,1197
19,Mahindra Bolero B6,8.5,2020,40000,Diesel,Manual,21.0,1498
20,Mahindra KUV100 NXT,5.5,2018,17000,Petrol,Manual,18.15,1198
21,Maruti Baleno Vxi,6.25,2016,22000,Petrol,Manual,15.4,1590
22,Maruti Swift Dzire,6.0,2016,54000,Petrol,Manual,20.85,1197
23,Maruti Wagon R,4.45,2019,10000,Petrol,Manual,20.51,998
24,Maruti Ignis 1.2,5.3,2019,20000,Petrol,Manual,20.89,1197
25,Maruti Wagon R,4.1,2018,53237,CNG,Manual,26.6,998
26,Datsun RediGO Gold,3.5,2018,27263,Petrol,Manual,22.5,999
27,Hyundai Verna 1.6,5.2,2014,110000,Diesel,Manual,22.32,1582
28,Hyundai i20 Asta,7.5,2016,70000,Diesel,Manual,22.54,1396
29,Hyundai i20 1.2,6.55,2019,39000,Petrol,Manual,18.6,1197
30,Hyundai i20 1.2,5.5,2018,34000,Petrol,Manual,18.6,1197
31,Mahindra Marazzo M2,9.9,2019,36000,Diesel,Manual,17.3,1497
32,Hyundai Verna SX,5.51,2013,47876,Diesel,Manual,25.0,1493
33,Ford Aspire 1.2,5.0,2017,58000,Petrol,Manual,18.16,1196
34,Maruti Swift Dzire,5.75,2018,30000,Petrol,Manual,21.21,1197
35,Ford Figo 1.2P,5.25,2017,19093,Petrol,Manual,18.16,1196
36,Honda Amaze E,4.0,2014,50000,Petrol,Manual,18.0,1198
37,Maruti Wagon R,1.55,2006,37000,Petrol,Manual,14.0,1061
38,Honda City V,5.45,2013,70000,Petrol,Manual,16.8,1497
39,Renault KWID RXL,2.4,2016,25000,Petrol,Manual,25.17,799
40,Ford Aspire 1.2,4.8,2017,30000,Petrol,Manual,18.16,1196
41,Hyundai i20 Magna,3.75,2013,15000,Petrol,Manual,18.5,1197
42,Tata Tiago 1.2,4.0,2017,32100,Petrol,Manual,23.84,1199
43,Hyundai i20 Magna,5.5,2016,22000,Petrol,Manual,18.5,1197
44,Volkswagen Polo 1.2,4.5,2016,78000,Petrol,Manual,18.78,1198
45,Mercedes-Benz C-Class C,7.75,2012,74352,Petrol,Automatic,11.74,1796
46,Maruti Wagon R,3.5,2014,37000,Petrol,Manual,20.51,998
47,Honda City i,5.5,2014,69000,Diesel,Manual,25.1,1498
48,Maruti Alto 800,2.3,2013,55000,Petrol,Manual,22.74,796
49,Hyundai i20 1.4,2.7,2011,160000,Diesel,Manual,21.9,1396
50,Ford Figo Petrol,1.3,2011,40000,Petrol,Manual,15.6,1196
51,Maruti Swift Dzire,3.7,2012,46000,Petrol,Manual,19.1,1197
52,Maruti Baleno Delta,5.7,2017,25000,Petrol,Manual,21.4,1197
53,Hyundai i20 2015-2017,5.9,2016,11000,Petrol,Manual,18.6,1197
54,Maruti Celerio VXI,4.75,2018,5000,Petrol,Automatic,23.1,998
55,Ford Ecosport 2015-2021,6.85,2017,55000,Diesel,Manual,23.0,1498
56,Renault KWID 1.0,3.3,2018,22000,Petrol,Manual,23.01,999
57,Maruti Baleno Delta,6.5,2018,7671,Petrol,Manual,21.01,1197
58,Maruti Wagon R,3.25,2016,66000,Petrol,Manual,20.51,998
59,Maruti Swift Dzire,6.4,2018,45156,Petrol,Automatic,21.21,1197
60,Hyundai Venue SX,9.49,2019,25000,Petrol,Manual,18.27,998
61,Hyundai Verna 1.6,6.6,2015,120000,Diesel,Manual,23.9,1582
62,Maruti Swift VXi,4.35,2014,28000,Petrol,Manual,16.1,1197
63,Hyundai i20 Sportz,3.85,2013,55000,Diesel,Manual,21.9,1396
